match_id,event,date,map_name,team,opponent,team_comp,opponent_comp,won
644674,VCT 2026: Pacific Stage 1,2026-04-25,Fracture,DetonatioN FocusMe,VARREL,"Breach,Brimstone,Cypher,Neon,Tejo","Breach,Brimstone,Cypher,Neon,Raze",True
644674,VCT 2026: Pacific Stage 1,2026-04-25,Fracture,VARREL,DetonatioN FocusMe,"Breach,Brimstone,Cypher,Neon,Raze","Breach,Brimstone,Cypher,Neon,Tejo",False
644675,VCT 2026: Pacific Stage 1,2026-04-26,Haven,T1,ZETA DIVISION,"Chamber,Neon,Omen,Phoenix,Sova","Harbor,Killjoy,Neon,Omen,Skye",True
644675,VCT 2026: Pacific Stage 1,2026-04-26,Haven,ZETA DIVISION,T1,"Harbor,Killjoy,Neon,Omen,Skye","Chamber,Neon,Omen,Phoenix,Sova",False
644675,VCT 2026: Pacific Stage 1,2026-04-26,Lotus,T1,ZETA DIVISION,"Fade,Killjoy,Neon,Omen,Viper","Fade,Neon,Omen,Raze,Vyse",True
644675,VCT 2026: Pacific Stage 1,2026-04-26,Lotus,ZETA DIVISION,T1,"Fade,Neon,Omen,Raze,Vyse","Fade,Killjoy,Neon,Omen,Viper",False
644676,VCT 2026: Pacific Stage 1,2026-04-26,Breeze,Nongshim RedForce,Team Secret,"Harbor,Neon,Phoenix,Sova,Viper","Astra,Kayo,Neon,Sova,Viper",True
644676,VCT 2026: Pacific Stage 1,2026-04-26,Breeze,Team Secret,Nongshim RedForce,"Astra,Kayo,Neon,Sova,Viper","Harbor,Neon,Phoenix,Sova,Viper",False
644676,VCT 2026: Pacific Stage 1,2026-04-26,Fracture,Nongshim RedForce,Team Secret,"Brimstone,Cypher,Neon,Raze,Skye","Brimstone,Cypher,Neon,Skye,Tejo",False
644676,VCT 2026: Pacific Stage 1,2026-04-26,Fracture,Team Secret,Nongshim RedForce,"Brimstone,Cypher,Neon,Skye,Tejo","Brimstone,Cypher,Neon,Raze,Skye",True
644676,VCT 2026: Pacific Stage 1,2026-04-26,Pearl,Nongshim RedForce,Team Secret,"Astra,Chamber,Fade,Neon,Phoenix","Astra,Chamber,Killjoy,Neon,Skye",True
644676,VCT 2026: Pacific Stage 1,2026-04-26,Pearl,Team Secret,Nongshim RedForce,"Astra,Chamber,Killjoy,Neon,Skye","Astra,Chamber,Fade,Neon,Phoenix",False
644677,VCT 2026: Pacific Stage 1,2026-05-01,Split,Gen.G,Team Secret,"Astra,Fade,Neon,Raze,Vyse","Cypher,Neon,Omen,Skye,Viper",False
644677,VCT 2026: Pacific Stage 1,2026-05-01,Split,Team Secret,Gen.G,"Cypher,Neon,Omen,Skye,Viper","Astra,Fade,Neon,Raze,Vyse",True
644677,VCT 2026: Pacific Stage 1,2026-05-01,Lotus,Gen.G,Team Secret,"Fade,Neon,Omen,Raze,Vyse","Fade,Neon,Omen,Viper,Vyse",True
644677,VCT 2026: Pacific Stage 1,2026-05-01,Lotus,Team Secret,Gen.G,"Fade,Neon,Omen,Viper,Vyse","Fade,Neon,Omen,Raze,Vyse",False
644677,VCT 2026: Pacific Stage 1,2026-05-01,Breeze,Gen.G,Team Secret,"Jett,Neon,Omen,Sova,Viper","Astra,Kayo,Neon,Sova,Viper",False
644677,VCT 2026: Pacific Stage 1,2026-05-01,Breeze,Team Secret,Gen.G,"Astra,Kayo,Neon,Sova,Viper","Jett,Neon,Omen,Sova,Viper",True
644678,VCT 2026: Pacific Stage 1,2026-05-01,Bind,VARREL,ZETA DIVISION,"Brimstone,Neon,Phoenix,Skye,Viper","Brimstone,Neon,Raze,Skye,Viper",True
644678,VCT 2026: Pacific Stage 1,2026-05-01,Bind,ZETA DIVISION,VARREL,"Brimstone,Neon,Raze,Skye,Viper","Brimstone,Neon,Phoenix,Skye,Viper",False
644678,VCT 2026: Pacific Stage 1,2026-05-01,Breeze,VARREL,ZETA DIVISION,"Chamber,Neon,Omen,Sova,Viper","Harbor,Kayo,Neon,Sova,Viper",False
644678,VCT 2026: Pacific Stage 1,2026-05-01,Breeze,ZETA DIVISION,VARREL,"Harbor,Kayo,Neon,Sova,Viper","Chamber,Neon,Omen,Sova,Viper",True
644678,VCT 2026: Pacific Stage 1,2026-05-01,Fracture,VARREL,ZETA DIVISION,"Breach,Brimstone,Neon,Tejo,Waylay","Breach,Brimstone,Cypher,Neon,Raze",False
644678,VCT 2026: Pacific Stage 1,2026-05-01,Fracture,ZETA DIVISION,VARREL,"Breach,Brimstone,Cypher,Neon,Raze","Breach,Brimstone,Neon,Tejo,Waylay",True
644679,VCT 2026: Pacific Stage 1,2026-05-02,Pearl,T1,FULL SENSE,"Astra,Killjoy,Neon,Sova,Tejo","Astra,Cypher,Fade,Neon,Phoenix",True
644679,VCT 2026: Pacific Stage 1,2026-05-02,Pearl,FULL SENSE,T1,"Astra,Cypher,Fade,Neon,Phoenix","Astra,Killjoy,Neon,Sova,Tejo",False
644679,VCT 2026: Pacific Stage 1,2026-05-02,Bind,T1,FULL SENSE,"Brimstone,Chamber,Neon,Skye,Viper","Brimstone,Neon,Raze,Skye,Viper",False
644679,VCT 2026: Pacific Stage 1,2026-05-02,Bind,FULL SENSE,T1,"Brimstone,Neon,Raze,Skye,Viper","Brimstone,Chamber,Neon,Skye,Viper",True
644679,VCT 2026: Pacific Stage 1,2026-05-02,Breeze,T1,FULL SENSE,"Harbor,Kayo,Neon,Sova,Viper","Harbor,Jett,Neon,Sova,Viper",True
644679,VCT 2026: Pacific Stage 1,2026-05-02,Breeze,FULL SENSE,T1,"Harbor,Jett,Neon,Sova,Viper","Harbor,Kayo,Neon,Sova,Viper",False
644680,VCT 2026: Pacific Stage 1,2026-05-02,Breeze,Nongshim RedForce,Global Esports,"Harbor,Neon,Phoenix,Sova,Viper","Chamber,Neon,Sage,Sova,Viper",False
644680,VCT 2026: Pacific Stage 1,2026-05-02,Breeze,Global Esports,Nongshim RedForce,"Chamber,Neon,Sage,Sova,Viper","Harbor,Neon,Phoenix,Sova,Viper",True
644680,VCT 2026: Pacific Stage 1,2026-05-02,Bind,Nongshim RedForce,Global Esports,"Brimstone,Neon,Raze,Skye,Viper","Brimstone,Deadlock,Gekko,Kayo,Neon",True
644680,VCT 2026: Pacific Stage 1,2026-05-02,Bind,Global Esports,Nongshim RedForce,"Brimstone,Deadlock,Gekko,Kayo,Neon","Brimstone,Neon,Raze,Skye,Viper",False
644680,VCT 2026: Pacific Stage 1,2026-05-02,Haven,Nongshim RedForce,Global Esports,"Chamber,Neon,Omen,Phoenix,Sova","Cypher,Deadlock,Neon,Omen,Sova",False
644680,VCT 2026: Pacific Stage 1,2026-05-02,Haven,Global Esports,Nongshim RedForce,"Cypher,Deadlock,Neon,Omen,Sova","Chamber,Neon,Omen,Phoenix,Sova",True
644681,VCT 2026: Pacific Stage 1,2026-05-03,Breeze,Paper Rex,KIWOOM DRX,"Jett,Neon,Omen,Sova,Viper","Harbor,Neon,Phoenix,Sova,Viper",True
644681,VCT 2026: Pacific Stage 1,2026-05-03,Breeze,KIWOOM DRX,Paper Rex,"Harbor,Neon,Phoenix,Sova,Viper","Jett,Neon,Omen,Sova,Viper",False
644681,VCT 2026: Pacific Stage 1,2026-05-03,Lotus,Paper Rex,KIWOOM DRX,"Jett,Omen,Raze,Skye,Vyse","Chamber,Fade,Neon,Omen,Raze",True
644681,VCT 2026: Pacific Stage 1,2026-05-03,Lotus,KIWOOM DRX,Paper Rex,"Chamber,Fade,Neon,Omen,Raze","Jett,Omen,Raze,Skye,Vyse",False
644682,VCT 2026: Pacific Stage 1,2026-05-03,Haven,Rex Regum Qeon,DetonatioN FocusMe,"Cypher,Jett,Neon,Omen,Sova","Cypher,Jett,Neon,Omen,Skye",False
644682,VCT 2026: Pacific Stage 1,2026-05-03,Haven,DetonatioN FocusMe,Rex Regum Qeon,"Cypher,Jett,Neon,Omen,Skye","Cypher,Jett,Neon,Omen,Sova",True
644682,VCT 2026: Pacific Stage 1,2026-05-03,Lotus,Rex Regum Qeon,DetonatioN FocusMe,"Chamber,Fade,Neon,Omen,Viper","Fade,Neon,Omen,Raze,Vyse",True
644682,VCT 2026: Pacific Stage 1,2026-05-03,Lotus,DetonatioN FocusMe,Rex Regum Qeon,"Fade,Neon,Omen,Raze,Vyse","Chamber,Fade,Neon,Omen,Viper",False
644682,VCT 2026: Pacific Stage 1,2026-05-03,Fracture,Rex Regum Qeon,DetonatioN FocusMe,"Brimstone,Neon,Raze,Skye,Veto","Breach,Brimstone,Cypher,Neon,Tejo",True
644682,VCT 2026: Pacific Stage 1,2026-05-03,Fracture,DetonatioN FocusMe,Rex Regum Qeon,"Breach,Brimstone,Cypher,Neon,Tejo","Brimstone,Neon,Raze,Skye,Veto",False
666488,VCT 2026: Pacific Stage 1,2026-05-07,Breeze,Rex Regum Qeon,Global Esports,"Harbor,Kayo,Neon,Sova,Viper","Chamber,Neon,Sage,Sova,Viper",False
666488,VCT 2026: Pacific Stage 1,2026-05-07,Breeze,Global Esports,Rex Regum Qeon,"Chamber,Neon,Sage,Sova,Viper","Harbor,Kayo,Neon,Sova,Viper",True
666488,VCT 2026: Pacific Stage 1,2026-05-07,Pearl,Rex Regum Qeon,Global Esports,"Astra,Chamber,Killjoy,Neon,Skye","Astra,Fade,Killjoy,Neon,Phoenix",False
666488,VCT 2026: Pacific Stage 1,2026-05-07,Pearl,Global Esports,Rex Regum Qeon,"Astra,Fade,Killjoy,Neon,Phoenix","Astra,Chamber,Killjoy,Neon,Skye",True
666489,VCT 2026: Pacific Stage 1,2026-05-07,Lotus,KIWOOM DRX,FULL SENSE,"Fade,Neon,Omen,Raze,Vyse","Jett,Omen,Raze,Skye,Vyse",False
666489,VCT 2026: Pacific Stage 1,2026-05-07,Lotus,FULL SENSE,KIWOOM DRX,"Jett,Omen,Raze,Skye,Vyse","Fade,Neon,Omen,Raze,Vyse",True
666489,VCT 2026: Pacific Stage 1,2026-05-07,Fracture,KIWOOM DRX,FULL SENSE,"Breach,Brimstone,Cypher,Neon,Raze","Brimstone,Cypher,Fade,Neon,Phoenix",False
666489,VCT 2026: Pacific Stage 1,2026-05-07,Fracture,FULL SENSE,KIWOOM DRX,"Brimstone,Cypher,Fade,Neon,Phoenix","Breach,Brimstone,Cypher,Neon,Raze",True
666490,VCT 2026: Pacific Stage 1,2026-05-08,Breeze,Paper Rex,Global Esports,"Jett,Neon,Omen,Sova,Viper","Chamber,Neon,Sage,Sova,Viper",False
666490,VCT 2026: Pacific Stage 1,2026-05-08,Breeze,Global Esports,Paper Rex,"Chamber,Neon,Sage,Sova,Viper","Jett,Neon,Omen,Sova,Viper",True
666490,VCT 2026: Pacific Stage 1,2026-05-08,Lotus,Paper Rex,Global Esports,"Jett,Omen,Raze,Skye,Vyse","Fade,Neon,Omen,Viper,Vyse",True
666490,VCT 2026: Pacific Stage 1,2026-05-08,Lotus,Global Esports,Paper Rex,"Fade,Neon,Omen,Viper,Vyse","Jett,Omen,Raze,Skye,Vyse",False
666490,VCT 2026: Pacific Stage 1,2026-05-08,Pearl,Paper Rex,Global Esports,"Astra,Fade,Jett,Phoenix,Vyse","Astra,Fade,Killjoy,Neon,Phoenix",False
666490,VCT 2026: Pacific Stage 1,2026-05-08,Pearl,Global Esports,Paper Rex,"Astra,Fade,Killjoy,Neon,Phoenix","Astra,Fade,Jett,Phoenix,Vyse",True
